;"""Senior Engineer";Junior Engineer;Engineering Discipline;Location;Hours Worked;Training Completed;Certifications Held;Equipment Used;Collaborative Projects;Mentorship Programs;Professional Affiliations;Conference Attendance;"Publications"""
75;Julianne Moore;India Reed;Computer Engineering;Seattle;50;National Instruments LabVIEW;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Programming Software, Hardware Development Tools;Operating Systems, Computer Networks;Mentor Junior Engineers;IEEE, Association for Computer Machinery (ACM);ATTEND: ACM SIGGRAPH Conference;Published 'Operating Systems and Computer Networks in Computer Engineering'
76;Nicole Kidman;Jaxon White;Geological Engineering;Dallas;45;Surpac;Professional Engineer (PE), Society for Mining, Metallurgy, and Exploration (SME) Certification;Mining Software, Drilling Equipment;Mineral Exploration, Rock Mechanics;Mentor Junior Engineers;SME, American Rock Mechanics Association (ARMA);ATTEND: ARMA Rock Mechanics/Geomechanics Symposium;Published 'Mineral Exploration and Rock Mechanics in Geological Engineering'
77;Amanda Seyfried;Logan Mitchell;Industrial Engineering;Philadelphia;46;PI System;Professional Engineer (PE), Institute of Industrial and Systems Engineers (IISE) Certification;Manufacturing Software, Material Handling Equipment;Supply Chain Management, Quality Control;Mentor Junior Engineers;IISE, Production and Operations Management Society (POMS);ATTEND: POMS Annual Conference;Published 'Supply Chain Management and Quality Control in Industrial Engineering'
78;Emma Watson;Quinn Clark;Environmental Engineering;Miami;49;GEATREF;Professional Engineer (PE), American Academy of Environmental Engineers and Scientists (AAEES) Certification;Air Quality Modeling Software, Water Sampling Equipment;Water Treatment, Waste Management;Mentor Junior Engineers;AAEES, Water Environment Federation (WEF);ATTEND: WEF Annual Technical Exhibition and Conference;Published 'Water Treatment and Waste Management in Environmental Engineering'</s>
79; Lupita Nyong'o;Elijah Carter;Chemical Engineering;Houston;47;Aspen Plus;Professional Engineer (PE), American Institute of Chemical Engineers (AIChE) Certification;Process Control Software, Laboratory Equipment;Reaction Kinetics, Plant Design;Mentor Junior Engineers;AIChE, Society of Chemical Industry (SCI);ATTEND: AIChE Annual Meeting;Published 'Reaction Kinetics and Plant Design in Chemical Engineering'
80;Scarlett Johansson;Mason Davis;Electrical Engineering;San Francisco;44;MATLAB;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Power System Simulation Software, Test Equipment;Power Distribution, Smart Grids;Mentor Junior Engineers;IEEE, National Society of Professional Engineers (NSPE);ATTEND: IEEE Power & Energy Society General Meeting;Published 'Power Distribution and Smart Grids in Electrical Engineering'
81;Jennifer Lawrence;Daniel Kim;Mechanical Engineering;New York;43;SolidWorks;Professional Engineer (PE), American Society of Mechanical Engineers (ASME) Certification;Finite Element Analysis Software, Measurement Instruments;Machine Design, Thermodynamics;Mentor Junior Engineers;ASME, Society of Automotive Engineers (SAE);ATTEND: ASME International Mechanical Engineering Congress and Exposition;Published 'Machine Design and Thermodynamics in Mechanical Engineering'
82;Adele;Milo Adams;Aerospace Engineering;Los Angeles;46;STAR-CCM+;Profional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;Fluid Dynamics Software, Wind Tunnel;Aerodynamics, Space Systems;Mentor Junior Engineers;AIAA, American Helicopter Society (AHS);ATTEND: AIAA SciTech Forum;Published 'Aerodynamics and Space Systems in Aerospace Engineering'
83;Zendaya;Connor Hall;Civil Engineering;Boston;45;AutoCAD;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Certification;Civil Design Software, Construction Equipment;Geotechnical Engineering, Structural Analysis;Mentor Junior Engineers;ASCE, Transportation Research Board (TRB);ATTEND: ASCE Annual Convention;Published 'Geotechnical Engineering and Structural Analysis in Civil Engineering'
84;Gal Gadot;Oliver Lewis;Biomedical Engineering;Chicago;47;Ansys;Professional Engineer (PE), Biomedical Engineering Society (BMES) Certification;Medical Imaging Software, Laboratory Equipment;Tissue Engineering, Medical Devices;Mentor Junior Engineers;BMES, American Institute for Medical and Biological Engineering (AIMBE);ATTEND: BMES Annual Meeting;Published 'Tissue Engineering and Medical Devices in Biomedical Engineering'
85;Angelina Jolie;Anna Flores;Computer Engineering;Seattle;44;Microsoft Visual Studio;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Programming Languages, Embedded Systems;Artificial Intelligence, Computer Networks;Mentor Junior Engineers;IEEE, Association for Computing Machinery (ACM);ATTEND: IEEE International Conference on Computer Science and Engineering;Published 'Artificial Intelligence and Computer Networks in Computer Engineering'
86;Brie Larson;Jayden Reed;Data Engineering;Denver;48;Apache Hadoop;Professional Engineer (PE), Data Science Association (DSA) Certification;Data Processing Software, Data Storage Devices;Machine Learning, Data Visualization;Mentor Junior Engineers;DSA, International Conference on Data Engineering (ICDE);ATTEND: DSA Annual Meeting;Published 'Machine Learning and Data Visualization in Data Engineering'
87;Emma Stone;Fiona Carter;Materials Engineering;Atlanta;46;FEA Software;Professional Engineer (PE), American Ceramic Society (ACS) Certification;Materials Testing Equipment, Microscopy Instruments;Polymers, Composites;Mentor Junior Engineers;ACS, The Minerals, Metals & Materials Society (TMS);ATTEND: TMS Annual Meeting & Exhibition;Published 'Polymers and Composites in Materials Engineering'
88;Saoirse Ronan;Jamie Phillips;Nuclear Engineering;Phoenix;44;SCALE;Professional Engineer (PE), American Nuclear Society (ANS) Certification;Reactor Physics Software, Radiation Detection Instruments;Nuclear Fuel Cycle, Radiation Protection;Mentor Junior Engineers;ANS, Nuclear Energy Institute (NEI);ATTEND: ANS Annual Meeting;Published 'Nuclear Fuel Cycle and Radiation Protection in Nuclear Engineering'</s>
89; Alexandra Daddario;Harper Wright;Computer Engineering;Seattle;49;Machine Learning Frameworks;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Programming Languages, Hardware Development Tools;Artificial Intelligence, Embedded Systems;Mentor Junior Engineers;IEEE, Society of Women Engineers (SWE);ATTEND: Grace Hopper Celebration;Published 'Artificial Intelligence and Embedded Systems in Computer Engineering'
90;Margot Robbie;Lila Thompson;Aerospace Engineering;Kansas City;47;CAD Software;Professional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;Aerospace Testing Equipment, Flight Simulation Systems;Aircraft Design, Space Systems;Mentor Junior Engineers;AIAA, American Astronautical Society (AAS);ATTEND: AIAA SciTech Forum;Published 'Aircraft Design and Space Systems in Aerospace Engineering'
91;Elizabeth Olsen;David Kim;Electrical Engineering;Dallas;45;Power Systems Simulation Software;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Circuit Diagramming Software, Power Electronics;Renewable Energy, Smart Grids;Mentor Junior Engineers;IEEE, National Electrical Manufacturers Association (NEMA);ATTEND: IEEE Industry Applications Society Annual Meeting;Published 'Renewable Energy and Smart Grids in Electrical Engineering'
92;Scarlett Johansson;Ella Torres;Biomedical Engineering;Miami;43;Medical Imaging Software;Professional Engineer (PE), Biomedical Engineering Society (BMES) Certification;Medical Testing Equipment, 3D Printing Tools;Tissue Engineering, Biomechanics;Mentor Junior Engineers;BMES, American Society of Mechanical Engineers (ASME);ATTEND: ASME Summer Bioengineering Conference;Published 'Tissue Engineering and Biomechanics in Biomedical Engineering'
93;Amber Heard;Connor McNeil;Environmental Engineering;Houston;50;Water Treatment Simulation Software;Professional Engineer (PE), American Academy of Environmental Engineers and Scientists (AAEES) Certification;Air Quality Monitoring Equipment, Water Quality Testing Instruments;Waste Management, Sustainable Design;Mentor Junior Engineers;AAEES, Water Environment Federation (WEF);ATTEND: WEFTEC;Published 'Waste Management and Sustainable Design in Environmental Engineering'
94;Nicole Kidman;Audrey Wallace;Geological Engineering;Los Angeles;46;Geotechnical Analysis Software;Professional Engineer (PE), Association of Environmental & Engineering Geologists (AEG) Certification;Drilling Equipment, Seismographs;Soil Mechanics, Rock Engineering;Mentor Junior Engineers;AEG, Society for Mining, Metallurgy, and Exploration (SME);ATTEND: SME Annual Conference & Expo;Published 'Soil Mechanics and Rock Engineering in Geological Engineering'
95;Emilia Clarke;Mason Lee;Industrial Engineering;New York;48;Optimization Modeling Software;Professional Engineer (PE), Institute of Industrial and Systems Engineers (IISE) Certification;Automation Systems, Lean Six Sigma Tools;Facility Design, Supply Chain Management;Mentor Junior Engineers;IISE, Production and Operations Management Society (POMS);ATTEND: POMS Annual Conference;Published 'Facility Design and Supply Chain Management in Industrial Engineering'
96;Zendaya;Jacob Hall;Chemical Engineering;Chicago;44;Chemical Process Simulation Software;Professional Engineer (PE), American Institute of Chemical Engineers (AIChE) Certification;Laboratory Equipment, Pilot Plant Systems;Reaction Kinetics, Process Control;Mentor Junior Engineers;AIChE, American Chemical Society (ACS);ATTEND: ACS Spring National Meeting & Exposition;Published 'Reaction Kinetics and Process Control in Chemical Engineering'
97;Gal Gadot;Noah Wilson;Civil Engineering;Boston;47;Civil Engineering Design Software;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Certification;Surveying Equipment, Construction Equipment;Structural Engineering, Transportation Engineering;Mentor Junior Engineers;ASCE, Transportation Research Board (TRB);ATTEND: TRB Annual Meeting;Published 'Structural Engineering and Transportation Engineering in Civil Engineering'
98;Charlize Theron;Morgan Matthews;Ocean Engineering;San Francisco;42;Hydrodynamic Modeling Software;Professional Engineer (PE), Marine Technology Society (MTS) Certification;Underwater Exploration Equipment, Marine Vessels;Coastal Engineering, Offshore Structures;Mentor Junior Engineers;MTS, Society for Underwater Technology (SUT);ATTEND: SUT Oceanology International;Published 'Coastal Engineering and Offshore Structures in Ocean Engineering'</s>
99; Idris Elba;Aisha Johnson;Electrical Engineering;New York;45;Electrical Design Software;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Power Systems, Control Systems;Mentor Junior Engineers;IEEE, National Society of Black Engineers (NSBE);ATTEND: NSBE National Convention;Published 'Power Systems and Control Systems in Electrical Engineering';
100;Emma Watson;Liam Kim;Mechanical Engineering;Los Angeles;46;Finite Element Analysis Software;Professional Engineer (PE), American Society of Mechanical Engineers (ASME) Certification;Machine Tools, Robotics;Mentor Junior Engineers;ASME, Society of Automotive Engineers (SAE);ATTEND: SAE World Congress Experience;Published 'Machine Tools and Robotics in Mechanical Engineering';
101;Rami Malek;Sophia White;Aerospace Engineering;Houston;48;Computational Fluid Dynamics Software;Profional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;Wind Tunnels, Spacecraft Systems;Mentor Junior Engineers;AIAA, American Astronautical Society (AAS);ATTEND: AAS/AIAA Astrodynamics Specialist Conference;Published 'Computational Fluid Dynamics and Wind Tunnels in Aerospace Engineering';
102;Scarlett Johansson;Oliver Mitchell;Biomedical Engineering;Miami;43;Medical Imaging Software;Professional Engineer (PE), Biomedical Engineering Society (BMES) Certification;Medical Equipment, Tissue Engineering;Mentor Junior Engineers;BMES, American Society for Engineering Education (ASEE);ATTEND: ASEE Annual Conference & Exposition;Published 'Medical Equipment and Tissue Engineering in Biomedical Engineering';
103;Chris Evans;Natalie Parker;Computer Engineering;Seattle;45;Programming Languages;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Computer Systems, Cybersecurity;Mentor Junior Engineers;IEEE, Association for Computing Machinery (ACM);ATTEND: ACM SIGCHI Conference on Human Factors in Computing Systems;Published 'Programming Languages and Computer Systems in Computer Engineering';
104;Nicole Kidman;Jayden Moore;Industrial Engineering;Detroit;45;Operations Research Software;Professional Engineer (PE), Institute of Industrial and Systems Engineers (IISE) Certification;Manufacturing Systems, Lean Manufacturing;Mentor Junior Engineers;IISE, American Production and Inventory Control Society (APICS);ATTEND: APICS International Conference;Published 'Operations Research and Manufacturing Systems in Industrial Engineering';
105;Robert Downey Jr.;Maya Davis;Environmental Engineering;Denver;45;Water Quality Modeling Software;Professional Engineer (PE), Air & Waste Management Association (A&WMA) Certification;Air Pollution Control Equipment, Water Treatment Systems;Mentor Junior Engineers;A&WMA, Solid Waste Association of North America (SWANA);ATTEND: SWANA Waste Conversion Technology Conference;Published 'Air Pollution Control Equipment and Water Treatment Systems in Environmental Engineering';
106;Viola Davis;Elijah Lewis;Geological Engineering;Portland;44;Geotechnical Software;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Geo-Institute Certification;Drilling Equipment, Seismic Equipment;Mentor Junior Engineers;ASCE, Society for Mining, Metallurgy, and Exploration (SME);ATTEND: SME Annual Conference & Exposition;Published 'Geotechnical Software and Drilling Equipment in Geological Engineering';
107;Michael B. Jordan;Hannah Nguyen;Materials Engineering;Philadelphia;45;Materials Simulation Software;Professional Engineer (PE), American Ceramic Society (ACerS) Certification;Materials Testing Equipment, Additive Manufacturing;Mentor Junior Engineers;ACerS, Minerals, Metals & Materials Society (TMS);ATTEND: TMS Annual Meeting & Exhibition;Published 'Materials Simulation and Materials Testing Equipment in Materials Engineering';
108;Gal Gadot;Theo Thompson;Nuclear Engineering;Washington DC;44;Radiation Protection Software;Professional Engineer (PE), American Nuclear Society (ANS) Certification;Radiation Detection Equipment, Nuclear Reactors;Mentor Junior Engineers;ANS, Institute of Nuclear Power Operations (INPO);ATTEND: INPO Nuclear Summit;Published 'Radiation Protection and Radiation Detection Equipment in Nuclear Engineering'</s>;
